No,Name,Direction,Width,Write,Read,Default
1,scan_reset,IN,1,0,0,0
2,CLK_SELEXT,IN,1,1,1,0
3,CMP_SELEXT,IN,1,1,1,0
4,TOSC_EXT,IN,4,15,15,0
5,TORX_GAIN_EXT,IN,2,3,3,3
6,TIB_VBIAS_EXT,IN,2,2,2,1
7,TIB_AMBIENT_EXT,IN,2,2,2,1
8,TIB_STIM_COMP_EXT,IN,2,1,1,0
9,TIB_VSIG_REF_EXT,IN,2,3,3,1
10,T_SELEXT,IN,1,1,1,0
11,STIM_EN_EXT,IN,1,0,0,0
12,STIM_Q_EXT,IN,3,0,0,0
13,SLOT_NUM_EXT,IN,10,0,0,0
14,TMON_CAP_EXT,IN,3,0,0,0
15,STIM_SELEXT,IN,1,0,0,0
16,DECAP_VDDANA,IN,3,0,0,0
17,DECAP_VDDDIG,IN,3,0,0,0
18,PUF,OUT,16,0,4736,0
19,TOSC_INT,OUT,4,0,15,0
20,TORX_GAIN_INT,OUT,2,0,3,0
21,TIB_VBIAS_INT,OUT,2,0,2,0
22,TIB_AMBIENT_INT,OUT,2,0,2,0
23,TIB_STIM_COMP_INT,OUT,2,0,0,0
24,TIB_VSIG_REF_INT,OUT,2,0,2,0
25,STIM_EN_INT,OUT,1,0,0,0
26,STIM_Q_INT,OUT,3,0,0,0
27,SLOT_NUM_INT,OUT,10,0,0,0
28,TMON_CAP_INT,OUT,3,0,5,0
